config,qat,epochs,learnable,max_diff,mean_diff,fp32_ms,dequant_ms
ptq,False,0,False,1.6195085,0.33418956,5.999040603637695,4.455828666687012
qat_short,True,3,False,1.4778242,0.24547724,7.214188575744629,3.955459594726563
qat_scale,True,3,True,1.3030787,0.24810137,7.621955871582031,6.542491912841797
