epochs,lr,learnable,maxdiff,meandiff,max_train_loss
3,0.001,False,1.4121377,0.24297683,
3,0.001,False,1.4121377,0.24297683
6,0.001,False,1.388438,0.22726911,
6,0.001,False,1.388438,0.22726911
6,0.0005,True,1.2632725,0.24215648,
6,0.0005,True,1.2632725,0.24215648
10,0.0005,True,1.1935003,0.23135889,
10,0.0005,True,1.1935003,0.23135889
